slug,version,active_installs,path,download_link
mailchimp-for-wp,4.8.7,2000000,plugins/zip/49/mailchimp-for-wp/mailchimp-for-wp.zip,https://downloads.wordpress.org/plugin/mailchimp-for-wp.4.8.7.zip
redirection,5.2.3,2000000,plugins/zip/60/redirection/redirection.zip,https://downloads.wordpress.org/plugin/redirection.zip
duplicate-page,4.4.8,2000000,plugins/zip/54/duplicate-page/duplicate-page.zip,https://downloads.wordpress.org/plugin/duplicate-page.zip
wp-mail-smtp,3.3.0,2000000,plugins/zip/54/wp-mail-smtp/wp-mail-smtp.zip,https://downloads.wordpress.org/plugin/wp-mail-smtp.3.3.0.zip
tinymce-advanced,5.6.0,2000000,plugins/zip/56/tinymce-advanced/tinymce-advanced.zip,https://downloads.wordpress.org/plugin/tinymce-advanced.5.6.0.zip
all-in-one-wp-security-and-firewall,4.4.11,1000000,plugins/zip/67/all-in-one-wp-security-and-firewall/all-in-one-wp-security-and-firewall.zip,https://downloads.wordpress.org/plugin/all-in-one-wp-security-and-firewall.4.4.11.zip
siteorigin-panels,2.16.9,1000000,plugins/zip/78/siteorigin-panels/siteorigin-panels.zip,https://downloads.wordpress.org/plugin/siteorigin-panels.2.16.9.zip
ninja-forms,3.6.9,1000000,plugins/zip/68/ninja-forms/ninja-forms.zip,https://downloads.wordpress.org/plugin/ninja-forms.3.6.9.zip
woocommerce-services,1.25.25,1000000,plugins/zip/77/woocommerce-services/woocommerce-services.zip,https://downloads.wordpress.org/plugin/woocommerce-services.1.25.25.zip
better-wp-security,8.1.0,1000000,plugins/zip/63/better-wp-security/better-wp-security.zip,https://downloads.wordpress.org/plugin/better-wp-security.8.1.0.zip
wp-multibyte-patch,2.9,1000000,plugins/zip/10/wp-multibyte-patch/wp-multibyte-patch.zip,https://downloads.wordpress.org/plugin/wp-multibyte-patch.2.9.zip
classic-widgets,0.3,1000000,plugins/zip/85/classic-widgets/classic-widgets.zip,https://downloads.wordpress.org/plugin/classic-widgets.0.3.zip
redux-framework,4.3.12,1000000,plugins/zip/14/redux-framework/redux-framework.zip,https://downloads.wordpress.org/plugin/redux-framework.4.3.12.zip
wp-optimize,3.2.3,1000000,plugins/zip/84/wp-optimize/wp-optimize.zip,https://downloads.wordpress.org/plugin/wp-optimize.3.2.3.zip
custom-post-type-ui,1.11.2,1000000,plugins/zip/19/custom-post-type-ui/custom-post-type-ui.zip,https://downloads.wordpress.org/plugin/custom-post-type-ui.1.11.2.zip
wps-hide-login,1.9.4,1000000,plugins/zip/71/wps-hide-login/wps-hide-login.zip,https://downloads.wordpress.org/plugin/wps-hide-login.1.9.4.zip
coming-soon,6.10.0,1000000,plugins/zip/58/coming-soon/coming-soon.zip,https://downloads.wordpress.org/plugin/coming-soon.6.10.0.zip
one-click-demo-import,3.1.1,1000000,plugins/zip/6/one-click-demo-import/one-click-demo-import.zip,https://downloads.wordpress.org/plugin/one-click-demo-import.3.1.1.zip
optinmonster,2.6.12,1000000,plugins/zip/69/optinmonster/optinmonster.zip,https://downloads.wordpress.org/plugin/optinmonster.2.6.12.zip
