name,slug,homepage,version,active_installs,path
"Nextend Social Login and Register",nextend-facebook-connect,https://nextendweb.com/,3.1.4,300000,plugins/zip/13/nextend-facebook-connect/nextend-facebook-connect.zip
"Variation Swatches for WooCommerce",woo-variation-swatches,https://wordpress.org/plugins/woo-variation-swatches/,1.1.19,300000,plugins/zip/5/woo-variation-swatches/woo-variation-swatches.zip
"Easy FancyBox",easy-fancybox,http://status301.net/wordpress-plugins/easy-fancybox/,1.8.18,300000,plugins/zip/76/easy-fancybox/easy-fancybox.zip
"Easy Updates Manager",stops-core-theme-and-plugin-updates,https://easyupdatesmanager.com,9.0.12,300000,plugins/zip/47/stops-core-theme-and-plugin-updates/stops-core-theme-and-plugin-updates.zip
"Font Awesome",font-awesome,https://fontawesome.com/how-to-use/on-the-web/using-with/wordpress,4.1.1,300000,plugins/zip/24/font-awesome/font-awesome.zip
"Imsanity",imsanity,https://wordpress.org/plugins/imsanity/,2.7.2,300000,plugins/zip/73/imsanity/imsanity.zip
"InfiniteWP Client",iwp-client,http://infinitewp.com/,1.9.6,300000,plugins/zip/2/iwp-client/iwp-client.zip
"Google Listings &amp; Ads",google-listings-and-ads,,1.12.4,300000,plugins/zip/39/google-listings-and-ads/google-listings-and-ads.zip
"SSL Insecure Content Fixer",ssl-insecure-content-fixer,https://ssl.webaware.net.au/,2.7.2,300000,plugins/zip/62/ssl-insecure-content-fixer/ssl-insecure-content-fixer.zip
"Post SMTP Mailer/Email Log",post-smtp,https://wordpress.org/plugins/post-smtp/,2.0.25,300000,plugins/zip/34/post-smtp/post-smtp.zip
"ShortPixel Image Optimizer",shortpixel-image-optimiser,https://shortpixel.com/,4.22.9,300000,plugins/zip/71/shortpixel-image-optimiser/shortpixel-image-optimiser.zip
"WooSidebars",woosidebars,http://woocommerce.com/woosidebars/,1.4.6,300000,plugins/zip/29/woosidebars/woosidebars.zip
"Gutenberg",gutenberg,https://github.com/WordPress/gutenberg,12.9.0,300000,plugins/zip/14/gutenberg/gutenberg.zip
"Complianz &#8211; GDPR/CCPA Cookie Consent",complianz-gdpr,https://www.wordpress.org/plugins/complianz-gdpr,6.1.4,300000,plugins/zip/59/complianz-gdpr/complianz-gdpr.zip
"WP Migrate Lite &#8211; WordPress Migration Made Easy",wp-migrate-db,https://wordpress.org/plugins/wp-migrate-db/,2.3.0,300000,plugins/zip/70/wp-migrate-db/wp-migrate-db.zip
"Header Footer Code Manager",header-footer-code-manager,https://draftpress.com/products,1.1.20,300000,plugins/zip/4/header-footer-code-manager/header-footer-code-manager.zip
"PDF Embedder",pdf-embedder,http://wp-pdf.com/,4.6.4,300000,plugins/zip/75/pdf-embedder/pdf-embedder.zip
"WooCommerce Payments",woocommerce-payments,https://woocommerce.com/payments/,3.9.3,300000,plugins/zip/31/woocommerce-payments/woocommerce-payments.zip
"Astra Widgets",astra-widgets,https://wpastra.com/,1.2.10,300000,plugins/zip/34/astra-widgets/astra-widgets.zip
"Formidable Form Builder &#8211; Contact Form, Survey &amp; Quiz Forms Plugin for WordPress",formidable,https://formidableforms.com/,5.2.04,300000,plugins/zip/3/formidable/formidable.zip
"WooCommerce Admin",woocommerce-admin,https://github.com/woocommerce/woocommerce-admin,3.3.2,300000,plugins/zip/40/woocommerce-admin/woocommerce-admin.zip
"Translate WordPress with GTranslate",gtranslate,https://gtranslate.io/?xyz=998,2.9.9,300000,plugins/zip/70/gtranslate/gtranslate.zip
"Child Theme Configurator",child-theme-configurator,http://www.childthemeplugin.com,2.5.9,300000,plugins/zip/4/child-theme-configurator/child-theme-configurator.zip
"Widget Importer &amp; Exporter",widget-importer-exporter,https://churchthemes.com/plugins/widget-importer-exporter/,1.6,300000,plugins/zip/16/widget-importer-exporter/widget-importer-exporter.zip
"WooCommerce PDF Invoices &amp; Packing Slips",woocommerce-pdf-invoices-packing-slips,https://wpovernight.com/downloads/woocommerce-pdf-invoices-packing-slips-bundle/,2.14.4,300000,plugins/zip/49/woocommerce-pdf-invoices-packing-slips/woocommerce-pdf-invoices-packing-slips.zip
"CMB2",cmb2,https://github.com/CMB2/CMB2,2.10.1,300000,plugins/zip/69/cmb2/cmb2.zip
"Gutenberg Blocks – Ultimate Addons for Gutenberg",ultimate-addons-for-gutenberg,https://www.brainstormforce.com,1.25.4,300000,plugins/zip/13/ultimate-addons-for-gutenberg/ultimate-addons-for-gutenberg.zip
"Head, Footer and Post Injections",header-footer,https://www.satollo.net/plugins/header-footer,3.2.3,300000,plugins/zip/2/header-footer/header-footer.zip
"Table of Contents Plus",table-of-contents-plus,,2106,300000,plugins/zip/45/table-of-contents-plus/table-of-contents-plus.zip
"Velvet Blues Update URLs",velvet-blues-update-urls,http://www.velvetblues.com/web-development-blog/wordpress-plugin-update-urls/,3.2.10,300000,plugins/zip/17/velvet-blues-update-urls/velvet-blues-update-urls.zip
"WooCommerce PayPal Payments",woocommerce-paypal-payments,https://woocommerce.com/products/woocommerce-paypal-payments/,1.7.1,300000,plugins/zip/35/woocommerce-paypal-payments/woocommerce-paypal-payments.zip
"Admin Menu Editor",admin-menu-editor,http://w-shadow.com/blog/2008/12/20/admin-menu-editor-for-wordpress/,1.10,300000,plugins/zip/40/admin-menu-editor/admin-menu-editor.zip
"WP Reset &#8211; Most Advanced Reset Tool for WordPress",wp-reset,https://wpreset.com/,1.95,300000,plugins/zip/65/wp-reset/wp-reset.zip
"Orbit Fox by ThemeIsle",themeisle-companion,https://orbitfox.com/,2.10.11,300000,plugins/zip/28/themeisle-companion/themeisle-companion.zip
"a3 Lazy Load",a3-lazy-load,,2.4.9,200000,plugins/zip/72/a3-lazy-load/a3-lazy-load.zip
"Disable XML-RPC",disable-xml-rpc,http://www.philerb.com/wp-plugins/,1.0.1,200000,plugins/zip/0/disable-xml-rpc/disable-xml-rpc.zip
"301 Redirects &#8211; Easy Redirect Manager",eps-301-redirects,https://wp301redirects.com/,2.72,200000,plugins/zip/4/eps-301-redirects/eps-301-redirects.zip
"WebP Express",webp-express,https://github.com/rosell-dk/webp-express,0.25.0,200000,plugins/zip/22/webp-express/webp-express.zip
"ACF Content Analysis for Yoast SEO",acf-content-analysis-for-yoast-seo,https://wordpress.org/plugins/acf-content-analysis-for-yoast-seo/,3.0.1,200000,plugins/zip/24/acf-content-analysis-for-yoast-seo/acf-content-analysis-for-yoast-seo.zip
"WebSub (FKA. PubSubHubbub)",pubsubhubbub,https://github.com/pubsubhubbub/wordpress-pubsubhubbub/,3.1.2,200000,plugins/zip/16/pubsubhubbub/pubsubhubbub.zip
"MW WP Form",mw-wp-form,https://plugins.2inc.org/mw-wp-form/,4.4.0,200000,plugins/zip/10/mw-wp-form/mw-wp-form.zip
"Simple Lightbox",simple-lightbox,http://archetyped.com/tools/simple-lightbox/,2.8.1,200000,plugins/zip/28/simple-lightbox/simple-lightbox.zip
"Facebook Chat Plugin &#8211; Live Chat Plugin for WordPress",facebook-messenger-customer-chat,,2.4,200000,plugins/zip/46/facebook-messenger-customer-chat/facebook-messenger-customer-chat.zip
"User Switching",user-switching,https://wordpress.org/plugins/user-switching/,1.5.8,200000,plugins/zip/17/user-switching/user-switching.zip
"Smash Balloon Social Post Feed",custom-facebook-feed,https://smashballoon.com/custom-facebook-feed,4.1.2,200000,plugins/zip/48/custom-facebook-feed/custom-facebook-feed.zip
