name,pii_found,access_violation,delete_violation,third_party_violation,encryption_violation,violation
interactive-offers-co-registration,false,false,false,false,false,false
bulk-variations-for-woocommerce,false,false,false,false,false,false
in-post-template,false,false,false,false,false,false
incognito-window-detect,true,false,false,false,false,false
wp-hidden-password-protected-page,true,false,false,false,false,false
netease-music,false,false,false,false,false,false
marketizator,false,false,false,false,false,false
wiki-page-links,false,false,false,false,false,false
front-profile-builder,true,false,true,false,false,true
zvi-callback-widget,true,false,false,false,false,false
fv-code-highlighter,false,false,false,false,false,false
press-tab-to-search,false,false,false,false,false,false
thumbnailsforbackend,false,false,false,false,false,false
wp-enterprise-extension,true,false,false,false,false,false
rocket-fireworks,false,false,false,false,false,false
customize-login-image,true,false,false,false,false,false
wp-fancy-message-box,false,false,false,false,false,false
scroll-to-top-builder,true,false,true,false,false,true
analytics-tracking,false,false,false,false,false,false
ipad-widget,false,false,false,false,false,false
buddypress-pagetrace,false,false,false,false,false,false
nordot,true,false,false,false,false,false
tmediaa-weather-plugin,false,false,false,false,false,false
projects-showroom,false,false,false,false,false,false
llc-tax,false,false,false,false,false,false
xili-dictionary,true,false,false,false,false,false
wi-games-widget,false,false,false,false,false,false
magic-post-translate,false,false,false,false,false,false
iran-map,false,false,false,false,false,false
full-utf-8,false,false,false,false,false,false
posts-columns-manager,false,false,false,false,false,false
ecomfit,true,false,false,false,true,true
antoniolite-yandex-metrica-json-ld-schema,true,false,false,false,false,false
wp-job-pro,true,false,true,false,false,true
tinymce-spellcheck,true,false,true,false,true,true
loyaltyjs,false,false,false,false,false,false
tinkl-it-woocommerce-payment-gateway,true,false,false,false,false,false
login-by-criipto,false,false,false,false,false,false
wunderslider-gallery,false,false,false,false,false,false
automatic-image-alt-attributes,false,false,false,false,false,false
radio-buttons-for-taxonomies,false,false,false,false,false,false
your-social-icons,false,false,false,false,false,false
ns-ie-compatibility-fixer,true,false,true,true,true,true
mint-sliders,false,false,false,false,false,false
what-twitter-say,true,false,false,false,false,false
search-google,false,false,false,false,false,false
